sale_id,product_id,date,units_sold,selling_price
S00250,P0059,2024-04-20,1,5676
S00251,P0076,2024-02-21,17,3302
S00252,P0060,2024-03-27,11,4754
S00253,P0045,2024-03-31,18,3234
S00254,P0019,2024-03-11,11,5774
S00255,P0082,2024-01-10,17,2692
S00256,P0006,2024-04-09,3,5024
S00257,P0051,2024-01-09,2,5703
S00258,P0023,2024-05-25,14,6024
S00259,P0086,2024-04-30,18,251
S00260,P0044,2024-06-26,19,4440
S00261,P0039,2024-02-21,15,367
S00262,P0016,2024-01-07,6,1433
S00263,P0071,2024-04-19,15,6434
S00264,P0009,2024-04-07,6,1875
S00265,P0003,2024-02-09,10,1230
S00266,P0060,2024-03-10,19,5234
S00267,P0048,2024-03-17,9,705
S00268,P0047,2024-05-20,8,1618
S00269,P0080,2024-04-02,19,1909
S00270,P0045,2024-04-24,15,3298
S00271,P0089,2024-06-21,15,3821
S00272,P0088,2024-04-16,16,2315
S00273,P0050,2024-01-28,6,3666
S00274,P0056,2024-04-26,12,1155
S00275,P0098,2024-06-23,8,840
S00276,P0021,2024-05-06,16,4010
S00277,P0045,2024-04-18,14,6188
S00278,P0036,2024-05-18,1,3138
S00279,P0054,2024-04-09,2,344
S00280,P0041,2024-01-30,3,2889
S00281,P0091,2024-06-01,16,6932
S00282,P0040,2024-05-30,10,5177
S00283,P0081,2024-01-17,14,2853
S00284,P0094,2024-03-17,6,1744
S00285,P0073,2024-04-17,18,2403
S00286,P0066,2024-06-12,1,2884
S00287,P0096,2024-06-13,6,5986
S00288,P0080,2024-05-13,9,4183
S00289,P0014,2024-05-30,8,365
S00290,P0061,2024-06-09,4,213
S00291,P0039,2024-06-12,13,4783
S00292,P0059,2024-04-19,15,3783
S00293,P0099,2024-03-18,4,3731
S00294,P0048,2024-01-23,13,2264
S00295,P0043,2024-05-07,6,5639
S00296,P0024,2024-06-10,8,6328
S00297,P0037,2024-06-05,10,6954
S00298,P0059,2024-03-14,11,2077
S00299,P0018,2024-05-26,12,2599
S00300,P0030,2024-04-28,9,4017
S00301,P0024,2024-05-13,1,1811
S00302,P0020,2024-02-18,18,5391
S00303,P0050,2024-03-19,11,6552
S00304,P0088,2024-01-13,18,4202
S00305,P0021,2024-02-07,2,5590
S00306,P0052,2024-04-12,13,3382
S00307,P0016,2024-03-16,5,803
S00308,P0053,2024-04-18,11,711
S00309,P0069,2024-02-07,9,1013
S00310,P0083,2024-02-28,9,459
S00311,P0097,2024-04-19,4,2189
S00312,P0077,2024-04-17,3,2528
S00313,P0048,2024-06-13,17,1197
S00314,P0081,2024-06-11,8,6747
S00315,P0077,2024-03-26,1,1953
S00316,P0027,2024-04-28,11,654
S00317,P0005,2024-06-14,13,3147
S00318,P0009,2024-05-21,4,1004
S00319,P0089,2024-03-15,6,6930
S00320,P0069,2024-06-20,12,4147
S00321,P0045,2024-06-16,19,1074
S00322,P0020,2024-04-20,5,3204
S00323,P0063,2024-04-19,13,6086
S00324,P0076,2024-05-23,14,6362
S00325,P0082,2024-05-27,10,6119
S00326,P0090,2024-01-18,13,6841
S00327,P0013,2024-02-04,7,3704
S00328,P0076,2024-04-27,4,3607
S00329,P0071,2024-05-04,15,4753
S00330,P0047,2024-06-18,3,2826
S00331,P0075,2024-01-17,12,611
S00332,P0056,2024-01-10,12,3294
S00333,P0003,2024-02-05,16,6919
S00334,P0059,2024-06-12,4,4918
S00335,P0076,2024-02-07,3,3425
S00336,P0074,2024-04-29,17,822
S00337,P0034,2024-06-15,16,6799
S00338,P0008,2024-05-26,11,2173
S00339,P0037,2024-05-08,2,3670
S00340,P0026,2024-04-16,16,3567
S00341,P0082,2024-03-27,18,2015
S00342,P0036,2024-06-01,11,4101
S00343,P0082,2024-02-14,10,3875
S00344,P0082,2024-05-04,13,1822
S00345,P0084,2024-06-27,13,4418
S00346,P0063,2024-01-03,3,1518
S00347,P0033,2024-02-03,4,3606
S00348,P0049,2024-05-24,5,4027
S00349,P0008,2024-03-21,18,5507
S00350,P0005,2024-06-06,4,2922
S00351,P0042,2024-03-07,5,5229
S00352,P0027,2024-04-14,8,1102
S00353,P0024,2024-01-01,15,6667
S00354,P0056,2024-05-26,12,2319
S00355,P0001,2024-04-28,8,826
S00356,P0095,2024-01-22,9,6084
S00357,P0013,2024-02-14,4,4002
S00358,P0083,2024-04-03,7,4868
S00359,P0064,2024-03-04,6,4025
S00360,P0072,2024-06-17,2,1906
S00361,P0053,2024-05-06,8,325
S00362,P0095,2024-04-22,14,3153
S00363,P0014,2024-01-15,11,1587
S00364,P0065,2024-02-20,11,2800
S00365,P0070,2024-01-08,17,4941
S00366,P0055,2024-01-17,16,4494
S00367,P0002,2024-02-26,7,4970
S00368,P0066,2024-06-28,7,436
S00369,P0006,2024-03-23,1,1767
S00370,P0059,2024-05-19,4,5964
S00371,P0023,2024-01-03,6,2806
S00372,P0030,2024-06-17,11,6202
S00373,P0083,2024-01-05,18,6363
S00374,P0065,2024-05-22,14,5266
S00375,P0001,2024-04-19,10,4992
S00376,P0045,2024-05-31,4,1133
S00377,P0036,2024-02-14,11,4086
S00378,P0025,2024-04-15,3,6497
S00379,P0095,2024-06-15,6,2830
S00380,P0090,2024-05-07,15,206
S00381,P0058,2024-02-12,11,4247
S00382,P0072,2024-03-08,10,968
S00383,P0099,2024-01-27,9,979
S00384,P0059,2024-05-24,8,1977
S00385,P0044,2024-02-25,17,2758
S00386,P0007,2024-03-10,13,459
S00387,P0049,2024-02-05,4,2939
S00388,P0022,2024-03-27,6,997
S00389,P0069,2024-04-30,1,3990
S00390,P0069,2024-05-09,6,6168
S00391,P0059,2024-05-16,17,2367
S00392,P0057,2024-06-07,15,5649
S00393,P0053,2024-03-22,8,1033
S00394,P0016,2024-03-18,15,1232
S00395,P0014,2024-02-26,13,814
S00396,P0026,2024-02-22,11,192
S00397,P0011,2024-02-05,10,5461
S00398,P0039,2024-06-18,13,2784
S00399,P0062,2024-06-12,13,982
S00400,P0063,2024-06-17,16,4386
S00401,P0096,2024-01-25,10,3356
S00402,P0015,2024-06-01,8,2380
S00403,P0024,2024-03-30,9,6488
S00404,P0072,2024-03-25,12,4210
S00405,P0088,2024-06-16,12,3404
S00406,P0070,2024-03-28,9,6369
S00407,P0098,2024-02-17,11,2075
S00408,P0018,2024-05-14,2,1339
S00409,P0092,2024-06-16,16,5760
S00410,P0058,2024-02-08,14,5690
S00411,P0035,2024-06-20,9,480
S00412,P0032,2024-02-21,15,1261
S00413,P0071,2024-06-27,4,2812
S00414,P0028,2024-06-03,4,4398
S00415,P0056,2024-06-23,7,3030
S00416,P0011,2024-01-24,15,5506
S00417,P0027,2024-04-25,5,3112
S00418,P0032,2024-05-27,16,1735
S00419,P0077,2024-02-16,12,1193
S00420,P0031,2024-03-23,4,4820
S00421,P0032,2024-02-26,18,1371
S00422,P0070,2024-03-22,12,5114
S00423,P0086,2024-01-27,4,5584
S00424,P0086,2024-02-01,12,848
S00425,P0022,2024-06-26,16,2710
S00426,P0013,2024-05-20,16,550
S00427,P0094,2024-06-23,19,5877
S00428,P0056,2024-03-11,13,3725
S00429,P0042,2024-03-13,11,1535
S00430,P0014,2024-02-05,6,2399
S00431,P0088,2024-04-29,4,450
S00432,P0041,2024-05-05,19,6595
S00433,P0033,2024-01-11,13,6610
S00434,P0053,2024-05-03,13,3679
S00435,P0009,2024-05-18,5,1800
S00436,P0076,2024-05-12,3,721
S00437,P0024,2024-03-05,4,3775
S00438,P0030,2024-01-29,6,4607
S00439,P0063,2024-01-26,7,1123
S00440,P0029,2024-01-29,9,198
S00441,P0096,2024-05-06,18,2428
S00442,P0006,2024-04-30,15,2728
S00443,P0093,2024-02-11,14,2469
S00444,P0007,2024-05-08,2,5987
S00445,P0026,2024-06-12,3,1476
S00446,P0081,2024-05-19,18,6395
S00447,P0086,2024-05-15,14,1338
S00448,P0091,2024-04-11,15,1994
S00449,P0049,2024-03-21,18,1199
S00450,P0008,2024-05-10,6,4751
S00451,P0017,2024-02-21,11,3700
S00452,P0046,2024-01-03,7,1609
S00453,P0039,2024-01-22,1,828
S00454,P0094,2024-04-14,19,5185
S00455,P0030,2024-02-17,13,4642
S00456,P0042,2024-04-12,9,6446
S00457,P0025,2024-04-02,4,993
S00458,P0035,2024-06-09,15,508
S00459,P0057,2024-04-26,11,2584
S00460,P0035,2024-04-05,11,211
S00461,P0004,2024-06-17,10,6719
S00462,P0029,2024-01-05,5,813
S00463,P0043,2024-06-25,17,590
S00464,P0051,2024-01-01,4,3093
S00465,P0032,2024-01-27,4,1499
S00466,P0025,2024-04-10,2,1849
S00467,P0044,2024-02-07,15,1250
S00468,P0016,2024-02-09,13,5569
S00469,P0008,2024-03-17,5,5364
S00470,P0081,2024-02-14,2,1172
S00471,P0094,2024-02-26,16,274
S00472,P0062,2024-02-02,12,3130
S00473,P0090,2024-05-24,10,6949
S00474,P0001,2024-01-05,17,4295
S00475,P0053,2024-04-29,4,2009
S00476,P0050,2024-02-14,5,2679
S00477,P0080,2024-04-30,13,4465
S00478,P0078,2024-01-17,3,6237
S00479,P0048,2024-02-26,9,1913
S00480,P0060,2024-01-12,12,4251
S00481,P0067,2024-04-25,16,358
S00482,P0018,2024-01-07,10,3477
S00483,P0058,2024-03-23,19,1231
S00484,P0093,2024-03-01,13,6058
S00485,P0028,2024-01-19,11,4267
S00486,P0040,2024-01-28,7,5709
S00487,P0001,2024-04-11,6,2381
S00488,P0027,2024-03-23,19,6732
S00489,P0080,2024-06-01,9,6479
S00490,P0064,2024-05-03,6,3856
S00491,P0069,2024-03-03,10,4435
S00492,P0080,2024-03-17,11,4547
S00493,P0053,2024-03-10,12,4640
S00494,P0005,2024-04-07,18,6326
S00495,P0090,2024-01-29,2,5962
S00496,P0065,2024-02-16,7,4524
S00497,P0088,2024-03-20,10,6994
S00498,P0091,2024-02-05,17,3680
S00499,P0071,2024-06-04,7,1022
S00500,P0012,2024-01-01,6,4875
S00501,P0072,2024-04-24,8,164
S00502,P0015,2024-06-18,19,3708
S00503,P0051,2024-03-03,10,805
S00504,P0018,2024-05-30,6,4296
S00505,P0011,2024-01-15,12,5253
S00506,P0016,2024-03-24,11,812
S00507,P0091,2024-06-17,13,5101
S00508,P0074,2024-03-01,2,3380
S00509,P0014,2024-04-11,10,4482
S00510,P0093,2024-04-22,2,6467
S00511,P0015,2024-03-17,9,2584
S00512,P0096,2024-06-03,1,5512
S00513,P0095,2024-05-06,3,6957
S00514,P0048,2024-05-16,3,2551
S00515,P0080,2024-05-13,7,4510
S00516,P0056,2024-04-11,13,355
S00517,P0063,2024-04-07,14,1100
S00518,P0080,2024-02-17,6,5655
S00519,P0030,2024-06-04,4,1364
S00520,P0076,2024-03-08,11,2295
S00521,P0099,2024-03-31,4,1388
S00522,P0038,2024-05-10,11,5360
S00523,P0021,2024-02-23,10,4714
S00524,P0073,2024-04-03,7,4682
S00525,P0051,2024-03-05,3,3760
S00526,P0063,2024-06-09,17,3344
S00527,P0100,2024-04-03,8,5293
S00528,P0040,2024-02-09,17,6657
S00529,P0098,2024-01-10,10,2536
S00530,P0085,2024-06-02,14,3806
S00531,P0082,2024-04-20,19,3640
S00532,P0079,2024-06-02,2,1585
S00533,P0087,2024-04-16,17,826
S00534,P0009,2024-02-01,4,5751
S00535,P0046,2024-06-23,19,6178
S00536,P0088,2024-02-02,15,1201
S00537,P0100,2024-01-07,16,6048
S00538,P0065,2024-06-21,14,4125
S00539,P0060,2024-02-28,6,2080
S00540,P0035,2024-01-12,4,1315
S00541,P0045,2024-01-16,17,6006
S00542,P0070,2024-01-26,17,6050
S00543,P0002,2024-03-19,16,6784
S00544,P0025,2024-04-09,11,6127
S00545,P0071,2024-06-05,8,5273
S00546,P0038,2024-05-23,10,6845
S00547,P0084,2024-05-04,8,1989
S00548,P0012,2024-04-02,5,5514
S00549,P0025,2024-06-23,9,1341
S00550,P0054,2024-05-03,17,4400
S00551,P0013,2024-01-04,1,4260
S00552,P0097,2024-05-15,11,2111
S00553,P0071,2024-03-26,16,2853
S00554,P0082,2024-03-21,9,584
S00555,P0037,2024-05-23,12,6580
S00556,P0040,2024-05-21,11,1004
S00557,P0006,2024-03-31,12,6029
S00558,P0070,2024-06-14,4,1465
S00559,P0066,2024-05-21,9,2245
S00560,P0099,2024-04-03,12,2190
S00561,P0064,2024-03-26,13,2478
S00562,P0054,2024-01-22,5,3955
S00563,P0061,2024-04-30,11,2049
S00564,P0010,2024-02-21,14,6320
S00565,P0066,2024-01-01,12,1284
S00566,P0081,2024-01-02,3,3468
S00567,P0006,2024-01-04,1,5104
S00568,P0056,2024-02-03,18,1236
S00569,P0032,2024-03-05,6,1724
S00570,P0073,2024-03-07,17,3823
S00571,P0045,2024-06-18,7,683
S00572,P0024,2024-05-01,8,756
S00573,P0056,2024-03-24,2,4268
S00574,P0012,2024-02-02,4,5726
S00575,P0056,2024-02-13,16,5004
S00576,P0047,2024-01-13,14,6176
S00577,P0037,2024-05-12,1,3454
S00578,P0063,2024-03-22,6,382
S00579,P0055,2024-03-16,12,160
S00580,P0064,2024-01-17,18,4095
S00581,P0017,2024-03-11,14,1743
S00582,P0087,2024-04-21,13,4476
S00583,P0091,2024-01-25,12,3896
S00584,P0026,2024-02-14,3,4191
S00585,P0075,2024-04-27,3,5996
S00586,P0094,2024-05-20,15,3128
S00587,P0012,2024-01-14,11,6826
S00588,P0062,2024-05-21,18,3148
S00589,P0088,2024-01-03,11,3142
S00590,P0041,2024-05-01,14,3739
S00591,P0046,2024-01-27,3,1041
S00592,P0084,2024-05-20,16,1067
S00593,P0075,2024-05-05,15,1158
S00594,P0074,2024-05-31,1,1903
S00595,P0051,2024-02-02,8,1668
S00596,P0061,2024-02-28,6,5844
S00597,P0038,2024-04-12,15,4471
S00598,P0078,2024-03-15,1,5430
S00599,P0067,2024-03-14,1,4469
S00600,P0036,2024-04-04,4,2529
S00601,P0036,2024-03-09,17,3872
S00602,P0032,2024-04-05,19,923
S00603,P0052,2024-05-21,18,3550
S00604,P0077,2024-05-31,14,4602
S00605,P0025,2024-05-31,18,2093
S00606,P0064,2024-06-09,1,6077
S00607,P0002,2024-02-19,19,1542
S00608,P0093,2024-06-23,2,5714
S00609,P0073,2024-04-19,14,6314
S00610,P0069,2024-02-13,13,3559
S00611,P0008,2024-01-18,19,5540
S00612,P0085,2024-06-18,16,5778
S00613,P0034,2024-01-20,15,4165
S00614,P0057,2024-02-02,8,5817
S00615,P0007,2024-04-15,18,1808
S00616,P0090,2024-02-16,11,3913
S00617,P0015,2024-06-22,10,2718
S00618,P0014,2024-02-17,10,5844
S00619,P0024,2024-02-24,9,3518
S00620,P0084,2024-05-20,10,968
S00621,P0037,2024-02-08,7,3752
S00622,P0081,2024-03-05,16,6455
S00623,P0092,2024-04-24,9,2666
S00624,P0009,2024-03-20,14,4295
S00625,P0087,2024-02-16,13,6644
S00626,P0046,2024-03-24,1,1086
S00627,P0097,2024-05-10,13,3946
S00628,P0054,2024-04-20,8,1988
S00629,P0049,2024-03-21,8,4996
S00630,P0037,2024-05-10,14,2591
S00631,P0062,2024-03-01,8,2283
S00632,P0043,2024-06-20,10,511
S00633,P0026,2024-02-15,13,615
S00634,P0036,2024-01-30,7,6320
S00635,P0044,2024-04-06,3,3956
S00636,P0098,2024-03-04,18,5320
S00637,P0018,2024-04-11,18,1844
S00638,P0036,2024-02-03,2,4657
S00639,P0066,2024-05-08,16,3136
S00640,P0016,2024-06-08,6,4950
S00641,P0060,2024-03-11,11,4292
S00642,P0036,2024-04-16,3,3857
S00643,P0034,2024-02-29,18,3947
S00644,P0071,2024-03-16,14,1588
S00645,P0010,2024-03-10,18,1647
S00646,P0081,2024-02-07,2,5056
S00647,P0060,2024-03-25,12,2068
S00648,P0092,2024-02-19,17,3695
S00649,P0094,2024-01-10,8,3222
S00650,P0094,2024-06-18,4,892
S00651,P0091,2024-06-18,3,5126
S00652,P0053,2024-03-20,9,6759
S00653,P0002,2024-03-02,10,2550
S00654,P0012,2024-05-15,4,465
S00655,P0086,2024-03-01,2,543
S00656,P0075,2024-05-28,12,5186
S00657,P0040,2024-01-17,13,2033
S00658,P0049,2024-04-11,3,1562
S00659,P0068,2024-03-24,15,4402
S00660,P0041,2024-02-16,4,1073
S00661,P0054,2024-02-09,18,2462
S00662,P0035,2024-02-24,6,3005
S00663,P0020,2024-01-14,17,2323
S00664,P0078,2024-06-02,18,920
S00665,P0050,2024-02-05,12,4615
S00666,P0049,2024-02-03,7,1980
S00667,P0070,2024-01-20,15,2832
S00668,P0096,2024-01-14,18,3590
S00669,P0089,2024-06-18,16,5009
S00670,P0036,2024-03-27,15,6233
S00671,P0048,2024-02-13,6,6725
S00672,P0048,2024-06-28,10,3906
S00673,P0029,2024-04-29,19,6914
S00674,P0041,2024-05-07,2,653
S00675,P0019,2024-03-22,12,2072
S00676,P0068,2024-03-16,11,4301
S00677,P0061,2024-03-03,13,952
S00678,P0063,2024-01-17,18,3459
S00679,P0016,2024-01-10,3,1987
S00680,P0022,2024-02-18,14,1136
S00681,P0051,2024-03-01,14,1029
S00682,P0024,2024-02-29,11,6357
S00683,P0013,2024-03-25,16,1361
S00684,P0091,2024-04-26,16,5973
S00685,P0092,2024-01-22,11,1623
S00686,P0025,2024-04-19,3,2069
S00687,P0082,2024-03-21,13,1396
S00688,P0100,2024-05-21,7,6262
S00689,P0078,2024-03-09,18,1880
S00690,P0006,2024-05-29,19,6525
S00691,P0038,2024-03-15,17,5966
S00692,P0041,2024-05-03,6,3105
S00693,P0091,2024-06-05,3,6882
S00694,P0093,2024-01-29,9,2692
S00695,P0089,2024-04-14,1,4090
S00696,P0054,2024-02-25,19,5602
S00697,P0070,2024-01-27,13,4307
S00698,P0088,2024-05-09,4,2622
S00699,P0033,2024-03-09,17,2345
S00700,P0097,2024-02-25,4,5401
S00701,P0085,2024-01-15,2,271
S00702,P0020,2024-05-03,14,2277
